[-1259925064698459799223870370866254232997822186002533976842071309339735925197601318359375000000000000, 2891839411497627131864081904337317750674739994298397567849174351077751159667968750000000000000000, -2157532429308712796753556204385361158814551813290465577110708455187618255615234375000000000000, 480116556126375138152841619131574497402315665404209573819748022117980957031250000000000000, 31416454275234648874953631203995398210443714790314226515860018167282104492187500000000, 595825152573532717681742774613562895021657059432138982517591082031250000000000000, 3247567518999520983872420401268621520947254617244800358391830078125000000000, -5790535436561105375522246013637387236262493061253916775093750000000000, 3047054822782089668624459078493314595043379945913102761718750000, -520067808058909220014353176629134712264772393194500000000, 194011691774389784775766162623440250000, -24125403112135308000, 1]
[2891839411497627131864081904337317750674739994298397567849174351077751159667968750000000000000000, 2222592169609618219995787547134709357565266268801614503256744396071029424667358398437500000000, 516308374803110838638659999405519338497474900982794222527833515514402508735656738281250000, -1660321192693227574844848968729153843054260863533998508845902825802129745483398437500000, 197341821381144808428553462138368655657948148568332557867868947754838466644287109375, -6349751374971005289736100899431308044091500334628882902557771590820312500000000, 20755545175692883198705158943161836698838403748243809872370452636718750000, 95169842605869243741101318338215633687626286235475625650062500000000, 62455076971567640336206139739710791896041377577085845437500000, 571459463835995161506183399545857463051290669929750000, 83443317610534187375785190080819514625, 11941355072680118832]
[-2157532429308712796753556204385361158814551813290465577110708455187618255615234375000000000000, 516308374803110838638659999405519338497474900982794222527833515514402508735656738281250000, 3725235359636503558942212079708664298764959135440105516280571956112558305263519287109375, -180187867398017248979248512290476440437804697190448382078667604981986999511718750000, -171814306202718601104750178540188729369959951617634891819452256718750000000000000, 12881110445570129309840247898262922529202613272198956897832531929687500000000, -148184626587108044009926218600448232569326355806972766048207312500000000, -151638480005016062214845804965575910333934216555748242793281250000, 53932199568426798590055832950935931409868044087302336000000, -197521541942677134523793158505822047314560052072000, 1365311867479274977245656739956703216, -355479814776346879]
[480116556126375138152841619131574497402315665404209573819748022117980957031250000000000000, -1660321192693227574844848968729153843054260863533998508845902825802129745483398437500000, -180187867398017248979248512290476440437804697190448382078667604981986999511718750000, 514412843489863383885140208366393136625819618578482852539811297995693206787109375, -485019607819528510708464720651503124596992222087849252905536671875000000000, -7159361225727255099580660194139288935142034608202996654063769363281250000, 201484907087738092159596371591667667496060685697322410639311000000000, -8748419285618665069826264533122984326821320361556770066500000, 7343194937088187841588966452429375207832749588209432000, 23623974295654813377158727217379732833898137345, 3608183328359975892089596589727744, 2895840108006912]
[31416454275234648874953631203995398210443714790314226515860018167282104492187500000000, 197341821381144808428553462138368655657948148568332557867868947754838466644287109375, -171814306202718601104750178540188729369959951617634891819452256718750000000000000, -485019607819528510708464720651503124596992222087849252905536671875000000000, 18786759935602370938673325678523612553387264307397640563787520000000000000, 586851812441362334135935858135253832185791776377575605392160000000000, -88012776667276058679280500784865763190778117829743003081664000000, 45558722660155460586046536161586100880704478742904799328000, -133546312118278441290258919004988971154285533306880, -796676135899570817558402872509493997309184, 2099876382840529140905107362048, -9778267498800]
[595825152573532717681742774613562895021657059432138982517591082031250000000000000, -6349751374971005289736100899431308044091500334628882902557771590820312500000000, 12881110445570129309840247898262922529202613272198956897832531929687500000000, -7159361225727255099580660194139288935142034608202996654063769363281250000, 586851812441362334135935858135253832185791776377575605392160000000000, 179073003539689758693063089394235367959949410734680662874748000000, 11217393453547600384708317483066492046225208605530019170816000, 6326461442324163523315472945027012513915182432491720192, 24939018056549353391282658184625378179180460544, 4743317837265062468423755822048356048, 261310970398725793350382848, 16203352576]
[3247567518999520983872420401268621520947254617244800358391830078125000000000, 20755545175692883198705158943161836698838403748243809872370452636718750000, -148184626587108044009926218600448232569326355806972766048207312500000000, 201484907087738092159596371591667667496060685697322410639311000000000, -88012776667276058679280500784865763190778117829743003081664000000, 11217393453547600384708317483066492046225208605530019170816000, -158810357931997071772627427499648092212547522281312839936, 99062886301871418348536632217934601106741283319296, -803725309258024030994698637263251353077248, -329632585376759146098794797312, 4728246427151406262992, -13923936]
[-5790535436561105375522246013637387236262493061253916775093750000000000, 95169842605869243741101318338215633687626286235475625650062500000000, -151638480005016062214845804965575910333934216555748242793281250000, -8748419285618665069826264533122984326821320361556770066500000, 45558722660155460586046536161586100880704478742904799328000, 6326461442324163523315472945027012513915182432491720192, 99062886301871418348536632217934601106741283319296, 128832296974596434638347792832163581557703680, 4745830567628632761856422904569076944, 254280573881435286102744480, 3211964917645312, 5952]
[3047054822782089668624459078493314595043379945913102761718750000, 62455076971567640336206139739710791896041377577085845437500000, 53932199568426798590055832950935931409868044087302336000000, 7343194937088187841588966452429375207832749588209432000, -133546312118278441290258919004988971154285533306880, 24939018056549353391282658184625378179180460544, -803725309258024030994698637263251353077248, 4745830567628632761856422904569076944, -2041437039412434917208653134080, 4723467116054155221168, -22932096, -1]
[-520067808058909220014353176629134712264772393194500000000, 571459463835995161506183399545857463051290669929750000, -197521541942677134523793158505822047314560052072000, 23623974295654813377158727217379732833898137345, -796676135899570817558402872509493997309184, 4743317837265062468423755822048356048, -329632585376759146098794797312, 254280573881435286102744480, 4723467116054155221168, 3211926994906879, 7440]
[194011691774389784775766162623440250000, 83443317610534187375785190080819514625, 1365311867479274977245656739956703216, 3608183328359975892089596589727744, 2099876382840529140905107362048, 261310970398725793350382848, 4728246427151406262992, 3211964917645312, -22932096, 7440, -1]
[-24125403112135308000, 11941355072680118832, -355479814776346879, 2895840108006912, -9778267498800, 16203352576, -13923936, 5952, -1]
[1]
